Data de divulgação;PIM-PF_ECOS_MEDIANA_MOM;PIM-PF_ECOS_MEDIANA_YOY;data_referencia;;;;
;-0,021;0,052;jan/27;;;;
;0,02;0,034;dez/17;;;;
;-0,001;0,038;nov/17;;;;
;0,002;0,053;out/17;;;;
;0,006;0,031;set/17;;;;
10/03/2017;0;0,048;ago/17;;;;
09/05/2017;0,004;0,017;jul/17;;;;
08/01/2017;-0,003;-0,001;jun/17;;;;
07/04/2017;0,006;0,029;mai/17;;;;
06/02/2017;0,001;-0,055;abr/17;;;;
05/03/2017;-0,01;0,02;mar/17;;;;
04/04/2017;0,006;0,003;fev/17;;;;
03/08/2017;-0,004;0,01;jan/17;;;;
02/01/2017;0,024;0,006;dez/16;;;;
01/05/2017;0,013;0,001;nov/16;;;;
12/02/2016;-0,008;-0,069;out/16;;;;
11/01/2016;0,006;-0,051;set/16;;;;
10/04/2016;-0,032;-0,048;ago/16;;;;
09/02/2016;0;-0,07;jul/16;;;;
08/02/2016;0,011;-0,063;jun/16;;;;
07/01/2016;0;-0,078;mai/16;;;;
06/02/2016;-0,009;-0,087;abr/16;;;;
05/03/2016;0,015;-0,108;mar/16;;;;
04/01/2016;-0,025;-0,105;fev/16;;;;
03/04/2016;-0,004;-0,148;jan/16;;;;
02/02/2016;0;-0,106;dez/15;;;;
01/07/2016;-0,01;-0,103;nov/15;;;;
12/03/2015;-0,001;-0,104;out/15;;;;
11/04/2015;-0,015;-0,113;set/15;;;;
10/02/2015;-0,016;-0,095;ago/15;;;;
09/02/2015;-0,001;-0,063;jul/15;;;;
08/04/2015;-0,007;-0,05;jun/15;;;;
07/02/2015;-0,004;-0,1;mai/15;;;;
06/02/2015;-0,014;-0,081;abr/15;;;;
05/06/2015;-0,007;-0,03;mar/15;;;;
04/01/2015;-0,015;-0,101;fev/15;;;;
03/04/2015;0,02;-0,05;jan/15;;;;
02/03/2015;-0,025;-0,026;dez/14;;;;
01/08/2015;0,005;-0,04;nov/14;;;;
12/02/2014;0,003;-0,03;out/14;;;;
11/04/2014;0,002;-0,017;set/14;;;;
10/02/2014;0,001;-0,058;ago/14;;;;
09/02/2014;0,005;-0,037;jul/14;;;;
08/01/2014;-0,023;-0,079;jun/14;;;;
07/02/2014;-0,006;-0,034;mai/14;;;;
06/04/2014;-0,004;-0,061;abr/14;;;;
05/07/2014;-0,024;-0,03;mar/14;;;;
04/02/2014;0,005;0,049;fev/14;;;;
03/11/2014;0,025;-0,034;jan/14;;;;
02/04/2014;-0,017;-0,001;dez/13;;;;
01/08/2014;-0,011;-0,008;nov/13;;;;
12/04/2013;0,001;0,004;out/13;;;;
11/01/2013;0,013;0,03;set/13;;;;
10/02/2013;0,002;-0,006;ago/13;;;;
09/03/2013;-0,013;0,026;jul/13;;;;
08/01/2013;0,013;0,022;jun/13;;;;
07/02/2013;-0,011;0,024;mai/13;;;;
06/04/2013;0,01;0,074;abr/13;;;;
05/03/2013;0,013;-0,024;mar/13;;;;
04/02/2013;-0,02;-0,024;fev/13;;;;
03/07/2013;0,016;0,046;jan/13;;;;
02/01/2013;-0,004;-0,048;dez/12;;;;
01/04/2013;-0,009;-0,007;nov/12;;;;
12/04/2012;0,012;0,025;out/12;;;;
11/01/2012;-0,005;-0,033;set/12;;;;
10/02/2012;0,02;-0,016;ago/12;;;;
09/04/2012;0,002;-0,033;jul/12;;;;
08/01/2012;0,008;-0,046;jun/12;;;;
07/03/2012;-0,006;-0,033;mai/12;;;;
5/31/2012;0;-0,024;abr/12;;;;
05/03/2012;0,012;0,012;mar/12;;;;
04/03/2012;0,006;-0,058;fev/12;;;;
03/07/2012;-0,008;-0,014;jan/12;;;;
1/31/2012;0,01;-0,008;dez/11;;;;
01/05/2012;0,005;-0,024;nov/11;;;;
12/02/2011;-0,002;-0,016;out/11;;;;
11/01/2011;-0,012;-0,01;set/11;;;;
10/04/2011;-0,001;0,022;ago/11;;;;
8/31/2011;0,007;0,003;jul/11;;;;
08/02/2011;-0,004;0,025;jun/11;;;;
07/01/2011;0,012;0,026;mai/11;;;;
5/31/2011;0,002;0,007;abr/11;;;;
05/03/2011;0,002;-0,025;mar/11;;;;
04/01/2011;0,009;0,05;fev/11;;;;
03/02/2011;-0,003;0,015;jan/11;;;;
02/02/2011;0,009;0,055;dez/10;;;;
01/05/2011;0;0,047;nov/10;;;;
12/02/2010;0,006;0,025;out/10;;;;
11/04/2010;0,001;0,071;set/10;;;;
10/01/2010;0,005;0,094;ago/10;;;;
8/31/2010;0,008;0,095;jul/10;;;;
08/03/2010;-0,008;0,119;jun/10;;;;
07/01/2010;0,015;0,179;mai/10;;;;
06/01/2010;-0,01;0,161;abr/10;;;;
05/04/2010;0,019;0,19;mar/10;;;;
04/01/2010;0,01;0,174;fev/10;;;;
03/04/2010;0,011;0,16;jan/10;;;;
02/02/2010;-0,001;0,185;dez/09;;;;
01/06/2010;0,01;0,054;nov/09;;;;
12/02/2009;0,02;-0,04;out/09;;;;
11/03/2009;0,017;-0,064;set/09;;;;
10/02/2009;0,011;-0,073;ago/09;;;;
8/31/2009;0,015;-0,105;jul/09;;;;
08/03/2009;0,004;-0,11;jun/09;;;;
07/02/2009;0,008;-0,12;mai/09;;;;
06/01/2009;0,008;-0,14;abr/09;;;;
05/05/2009;0,013;-0,097;mar/09;;;;
04/01/2009;0,033;-0,146;fev/09;;;;
03/06/2009;0,085;-0,112;jan/09;;;;
02/03/2009;-0,081;-0,103;dez/08;;;;
01/06/2009;-0,035;-0,045;nov/08;;;;
12/02/2008;0;0,036;out/08;;;;
11/04/2008;0,009;0,086;set/08;;;;
10/02/2008;-0,006;0,025;ago/08;;;;
09/02/2008;0,007;0,08;jul/08;;;;
08/01/2008;0,024;0,065;jun/08;;;;
07/01/2008;0,002;0,042;mai/08;;;;
06/03/2008;0,004;0,096;abr/08;;;;
05/06/2008;0,009;0,03;mar/08;;;;
04/01/2008;-0,002;0,095;fev/08;;;;
03/05/2008;0,021;0,091;jan/08;;;;
02/08/2008;-0,008;0,06;dez/07;;;;
01/07/2008;-0,018;0,063;nov/07;;;;
12/05/2007;0,015;0,089;out/07;;;;
11/06/2007;0;0,065;set/07;;;;
10/04/2007;0,006;0,055;ago/07;;;;
09/04/2007;0,006;0,075;jul/07;;;;
08/03/2007;0,006;0,054;jun/07;;;;
07/04/2007;0,003;0,035;mai/07;;;;
06/05/2007;0,009;0,069;abr/07;;;;
05/04/2007;0,013;0,038;mar/07;;;;
04/04/2007;0,005;0,035;fev/07;;;;
03/06/2007;0,004;0,043;jan/07;;;;
02/05/2007;-0,004;0,008;dez/06;;;;
01/05/2007;0;0,03;nov/06;;;;
12/06/2006;0,015;0,048;out/06;;;;
11/07/2006;-0,006;0,025;set/06;;;;
10/05/2006;0,006;0,027;ago/06;;;;
09/05/2006;0,01;0,031;jul/06;;;;
08/04/2006;-0,005;0,016;jun/06;;;;
07/06/2006;0,01;0,035;mai/06;;;;
06/06/2006;0,004;-0,005;abr/06;;;;
05/05/2006;-0,005;0,046;mar/06;;;;
04/04/2006;0,005;0,043;fev/06;;;;
03/09/2006;0,003;0,055;jan/06;;;;
02/07/2006;0,015;0,015;dez/05;;;;
01/10/2006;0,011;0,02;nov/05;;;;
12/07/2005;-0,006;0,003;out/05;;;;
11/09/2005;-0,01;0,019;set/05;;;;
10/06/2005;0,005;0,028;ago/05;;;;
09/08/2005;-0,008;0,029;jul/05;;;;
08/05/2005;0,013;0,055;jun/05;;;;
07/07/2005;0,004;0,05;mai/05;;;;
06/07/2005;0,004;0,057;abr/05;;;;
05/06/2005;0,007;0,028;mar/05;;;;
04/06/2005;0,005;0,078;fev/05;;;;
03/09/2005;-0,01;0,05;jan/05;;;;
02/10/2005;0,012;0,085;dez/04;;;;
01/11/2005;;0,06;nov/04;;;;
12/09/2004;-0,005;0,043;out/04;;;;
11/10/2004;0,004;0,074;set/04;;;;
10/11/2004;-0,001;0,101;ago/04;;;;
09/09/2004;0,01;0,1;jul/04;;;;
08/06/2004;0,018;0,14;jun/04;;;;
07/08/2004;0,016;0,075;mai/04;;;;
06/09/2004;-0,001;0,065;abr/04;;;;
