Produção Industrial - variação % - Mediana - Mensal - Período de 31/03/2014 a 29/02/2016 para fev/2014 a jan/2018
Data;fev/2014;mar/2014;abr/2014;mai/2014;jun/2014;jul/2014;ago/2014;set/2014;out/2014;nov/2014;dez/2014;jan/2015;fev/2015;mar/2015;abr/2015;mai/2015;jun/2015;jul/2015;ago/2015;set/2015;out/2015;nov/2015;dez/2015;jan/2016;fev/2016;mar/2016;abr/2016;mai/2016;jun/2016;jul/2016;ago/2016;set/2016;out/2016;nov/2016;dez/2016;jan/2017;fev/2017;mar/2017;abr/2017;mai/2017;jun/2017;
31/03/2014;1,61;1,23;0,00;0,39;1,34;1,51;1,62;2,20;0,65;2,05;2,65;1,80;2,45;1,90;2,13;1,69;1,79;2,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
01/04/2014;1,61;1,23;0,00;0,39;1,34;1,51;1,62;2,20;0,65;2,05;2,65;1,80;2,45;1,90;2,13;1,69;1,79;2,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
02/04/2014; ;1,23;0,00;0,39;1,34;1,51;1,62;2,20;0,65;2,05;2,65;1,80;2,45;1,90;2,13;1,69;1,79;1,70;0,10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/04/2014; ;1,23;0,00;0,39;1,34;1,51;1,62;2,20;0,65;2,05;2,65;1,80;2,45;1,90;2,13;1,69;1,79;1,70;0,10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/04/2014; ;1,23;0,00;0,39;1,34;1,51;1,62;2,20;0,65;2,05;2,65;1,80;2,45;1,90;2,13;1,69;1,79;1,70;0,10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/04/2014; ;1,23;0,00;0,33;1,34;1,44;1,62;1,70;0,65;2,05;2,65;1,80;2,00;1,90;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/04/2014; ;1,23;0,00;0,33;1,34;1,44;1,62;1,70;0,65;2,05;2,65;1,80;2,00;1,90;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/04/2014; ;1,20;0,00;0,33;1,34;1,44;1,62;1,70;0,65;2,05;2,65;1,80;2,00;1,90;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/04/2014; ;1,10;0,00;0,33;1,34;1,44;1,62;1,70;0,65;2,05;2,65;1,80;2,00;1,90;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/04/2014; ;0,00;0,00;0,20;1,20;1,30;0,80;1,20;0,60;1,10;2,65;1,80;2,00;1,90;2,13;1,69;1,79;1,69;1,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/04/2014; ;-0,97;0,00;0,46;1,28;1,30;1,10;1,45;0,65;1,55;2,50;1,90;2,00;2,00;2,00;1,70;1,87;1,70;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/04/2014; ;-0,97;0,00;0,46;1,28;1,30;1,10;1,45;0,65;1,55;2,50;1,90;2,00;2,00;2,00;1,70;1,87;1,70;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/04/2014; ;-0,97;0,00;0,46;1,28;1,30;1,10;1,45;0,65;1,55;2,50;1,90;2,00;2,00;2,00;1,70;1,87;1,70;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
