Produção Industrial - variação % - Mediana - Mensal - Período de 31/03/2016 a 28/02/2018 para fev/2014 a jan/2018
Data;fev/2016;mar/2016;abr/2016;mai/2016;jun/2016;jul/2016;ago/2016;set/2016;out/2016;nov/2016;dez/2016;jan/2017;fev/2017;mar/2017;abr/2017;mai/2017;jun/2017;jul/2017;ago/2017;set/2017;out/2017;nov/2017;dez/2017;jan/2018;
31/03/2016;-7,24;-7,00;-6,00;-4,99;-5,00;-4,56;-4,20;-3,73;-4,00;-1,10;-0,51;0,60;0,55;0,20;0,50;0,65;0,20;0,35; ; ; ; ; ; ;
01/04/2016; ;-7,00;-6,00;-4,99;-5,00;-4,56;-4,20;-3,73;-4,00;-1,10;-0,51;0,60;0,55;0,20;0,50;0,65;0,20;0,35; ; ; ; ; ; ;
04/04/2016; ;-7,25;-6,99;-4,94;-6,07;-4,43;-3,87;-3,62;-3,29;-1,05;-0,16;0,55;0,37;0,20;0,50;0,60;0,20;0,20;0,00; ; ; ; ; ;
05/04/2016; ;-7,25;-6,99;-4,94;-6,07;-4,43;-3,87;-3,62;-3,29;-1,05;-0,16;0,55;0,37;0,20;0,50;0,60;0,20;0,20;0,00; ; ; ; ; ;
06/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,17;-4,20;-3,62;-3,29;-1,05;-0,16;0,59;0,57;0,20;0,50;0,70;0,35;0,35;1,31; ; ; ; ; ;
07/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,17;-4,20;-3,62;-3,29;-1,05;-0,16;0,59;0,57;0,20;0,50;0,70;0,35;0,35;1,31; ; ; ; ; ;
08/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,17;-4,20;-3,62;-3,29;-1,05;-0,16;0,59;0,57;0,20;0,50;0,70;0,35;0,35;1,31; ; ; ; ; ;
11/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,18;-4,20;-3,62;-3,29;-1,05;-0,16;0,60;0,57;0,20;0,50;0,70;0,35;0,35;1,31; ; ; ; ; ;
12/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,18;-4,20;-3,62;-3,29;-1,05;-0,16;0,60;0,57;0,20;0,50;0,70;0,35;0,35;1,31; ; ; ; ; ;
13/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,18;-4,20;-3,62;-3,29;-1,05;-0,16;0,60;0,57;0,20;0,50;0,70;0,35;0,50;1,40; ; ; ; ; ;
14/04/2016; ;-7,25;-6,95;-5,49;-6,14;-5,18;-4,20;-3,62;-3,29;-1,05;-0,16;0,60;0,57;0,20;0,50;0,70;0,35;0,50;1,40; ; ; ; ; ;
15/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,20;-3,35;-3,29;-1,05;-0,51;0,55;0,37;0,20;0,50;0,70;0,35;0,50;0,50; ; ; ; ; ;
18/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,20;-3,35;-3,29;-1,05;-0,51;0,55;0,37;0,20;0,50;0,70;0,35;0,50;0,50; ; ; ; ; ;
19/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,20;-3,35;-3,29;-1,05;-0,51;0,55;0,37;0,20;0,50;0,70;0,35;0,50;0,50; ; ; ; ; ;
20/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,20;-3,35;-3,29;-1,05;-0,51;0,55;0,37;0,20;0,50;0,70;0,35;0,50;0,50; ; ; ; ; ;
22/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,50;-3,35;-3,29;-1,10;-0,51;0,50;0,20;0,20;0,64;0,85;0,20;0,70;0,50; ; ; ; ; ;
25/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,50;-3,35;-3,29;-1,10;-0,51;0,50;0,20;0,20;0,64;0,85;0,20;0,70;0,50; ; ; ; ; ;
26/04/2016; ;-7,15;-6,40;-6,24;-5,44;-5,05;-4,50;-3,35;-3,29;-1,10;-0,51;0,50;0,20;0,20;0,64;0,85;0,20;0,70;0,50; ; ; ; ; ;
