Data;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18
31/03/2014;1,61;1,23;0;0,39;1,34;1,51;1,62;2,2;0,65;2,05;2,65;1,8;2,45;1,9;2,13;1,69;1,79;2,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
01/04/2014;1,61;1,23;0;0,39;1,34;1,51;1,62;2,2;0,65;2,05;2,65;1,8;2,45;1,9;2,13;1,69;1,79;2,55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
02/04/2014; ;1,23;0;0,39;1,34;1,51;1,62;2,2;0,65;2,05;2,65;1,8;2,45;1,9;2,13;1,69;1,79;1,7;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
03/04/2014; ;1,23;0;0,39;1,34;1,51;1,62;2,2;0,65;2,05;2,65;1,8;2,45;1,9;2,13;1,69;1,79;1,7;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
04/04/2014; ;1,23;0;0,39;1,34;1,51;1,62;2,2;0,65;2,05;2,65;1,8;2,45;1,9;2,13;1,69;1,79;1,7;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
07/04/2014; ;1,23;0;0,33;1,34;1,44;1,62;1,7;0,65;2,05;2,65;1,8;2;1,9;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
08/04/2014; ;1,23;0;0,33;1,34;1,44;1,62;1,7;0,65;2,05;2,65;1,8;2;1,9;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
09/04/2014; ;1,2;0;0,33;1,34;1,44;1,62;1,7;0,65;2,05;2,65;1,8;2;1,9;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
10/04/2014; ;1,1;0;0,33;1,34;1,44;1,62;1,7;0,65;2,05;2,65;1,8;2;1,9;2,13;1,69;1,79;1,69;0,84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
11/04/2014; ;0;0;0,2;1,2;1,3;0,8;1,2;0,6;1,1;2,65;1,8;2;1,9;2,13;1,69;1,79;1,69;1,58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
14/04/2014; ;-0,97;0;0,46;1,28;1,3;1,1;1,45;0,65;1,55;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
15/04/2014; ;-0,97;0;0,46;1,28;1,3;1,1;1,45;0,65;1,55;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
16/04/2014; ;-0,97;0;0,46;1,28;1,3;1,1;1,45;0,65;1,55;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
17/04/2014; ;-0,73;0;0,52;1,34;1,5;1,4;1,58;0,7;2;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
22/04/2014; ;-0,73;0;0,52;1,34;1,5;1,4;1,58;0,7;2;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
23/04/2014; ;-0,73;0;0,52;1,34;1,5;1,4;1,58;0,7;2;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
24/04/2014; ;-0,73;0;0,52;1,34;1,5;1,4;1,58;0,7;2;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
25/04/2014; ;-0,73;0;0,52;1,34;1,5;1,4;1,58;0,7;2;2,5;1,9;2;2;2;1,7;1,87;1,7;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
28/04/2014; ;-0,97;0;0,46;1,28;1,3;1,1;1,45;1,35;1,6;2,3;1,8;2;1,85;1,85;1,69;1,79;1,69;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
29/04/2014; ;-0,97;0;0,46;1,28;1,3;1,1;1,45;1,35;1,6;2,3;1,8;2;1,85;1,85;1,69;1,79;1,69;1,64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
30/04/2014; ;-1,88;0;0,33;1,34;1,5;1,3;1,58;0,6;1,8;2,5;1,9;2;2;2;1,7;1,87;1,7;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
02/05/2014; ;-1,88;0;0,33;1,34;1,5;1,3;1,58;0,6;1,8;2,5;1,9;2;2;2;1,7;1,87;1,7;1,7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
05/05/2014; ;-2,8;0;0,46;1,4;1,7;1,5;1,7;1,35;1,95;2,85;2;2;2,05;2,28;1,85;1,94;1,85;1,85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
06/05/2014; ;-2,45;0;0,46;1,4;1,7;1,5;1,7;1,35;1,95;2,85;2;2;2,05;2,28;1,85;1,94;1,85;1,85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
07/05/2014; ; ;0;0,37;1,4;1,7;1,5;1,7;1,03;1,53;2,85;2;2,01;1,9;2,11;1,85;1,92;1,85;1,85;1,47; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
08/05/2014; ; ;-0,5;0,37;1,4;1,7;1,5;1,7;1,03;1,53;2,3;2;2;1,75;1,85;1,5;1,77;1,7;1,7;1,23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
09/05/2014; ; ;-0,5;0,37;1,4;1,7;1,5;1,7;1,03;1,53;2,3;2;2;1,79;2;1,3;1,7;1,64;1,85;1,23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
12/05/2014; ; ;-0,5;0,37;1,4;1,7;1,5;1,7;1,03;1,53;2,3;2;2;1,79;2;1,3;1,7;1,64;1,85;1,23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
13/05/2014; ; ;-1;0,83;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
14/05/2014; ; ;-1,9;1,3;1,5;1,8;1,7;2,2;1,68;1,9;2,85;2;2,01;1,9;2;1,7;1,83;1,85;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
15/05/2014; ; ;-2,15;0,83;1,45;1,75;1,6;1,95;1,46;1,8;3,2;2;2,45;1,79;2,11;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
16/05/2014; ; ;-2,15;0,83;1,45;1,75;1,6;1,95;1,46;1,8;3,2;2;2,45;1,79;2,11;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
19/05/2014; ; ;-1,9;0,83;1,5;1,8;1,7;2,2;1,68;1,9;2,85;2;2,01;1,9;2;1,7;1,83;1,85;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
20/05/2014; ; ;-1,45;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
